Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
148,0|1|2|3|4|5|,3056|1165|452|141|57|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3056|1165|452|141|57|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3056|1165|452|141|59|,0|0|0|0|0|0|,14970|3027|1154|444|139|58|,0|0|0|0|0|0|,6582|1353|474|189|73|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6582|1353|474|189|73|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6064|1251|427|167|64|27|,3020|59|18|3|4|23|,0|0|0|0|0|0|
149,0|1|2|3|4|5|,3044|1192|409|164|60|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3044|1192|409|164|60|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3044|1192|409|164|64|,0|0|0|0|0|0|,14490|3028|1186|403|164|64|,0|0|0|0|0|0|,6287|1396|567|183|77|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6287|1396|567|183|77|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5904|1294|531|170|72|25|,2889|71|34|5|5|22|,0|0|0|0|0|0|
150,0|1|2|3|4|5|,3015|1223|497|165|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3015|1223|497|165|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3015|1223|497|165|70|,0|0|0|0|0|0|,15960|2983|1208|495|160|70|,0|0|0|0|0|0|,6797|1269|505|214|63|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6797|1269|505|214|63|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6131|1134|463|190|54|28|,3069|55|30|11|1|24|,0|0|0|0|0|0|
151,0|1|2|3|4|5|,3062|1079|433|179|53|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3062|1079|433|179|53|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3062|1079|433|179|57|,0|0|0|0|0|0|,14010|3043|1065|429|178|57|,0|0|0|0|0|0|,6386|1475|477|208|101|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6386|1475|477|208|101|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5884|1354|445|191|94|22|,2947|72|21|12|7|21|,0|0|0|0|0|0|
152,0|1|2|3|4|5|,2937|1282|424|179|87|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2937|1282|424|179|87|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2937|1282|424|179|88|,0|0|0|0|0|0|,16420|2912|1273|421|179|88|,0|0|0|0|0|0|,6947|1191|553|172|75|40|,0|0|0|0|0|0|,0|0|0|0|0|0|,6947|1191|553|172|75|40|,0|0|0|0|0|0|,0|0|0|0|0|0|,6197|1053|496|152|65|37|,3125|46|20|7|4|35|,0|0|0|0|0|0|
153,0|1|2|3|4|5|,3072|1007|476|145|61|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3072|1007|476|145|61|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3072|1007|476|145|63|,0|0|0|0|0|0|,14950|3040|997|470|144|61|,0|0|0|0|0|0|,6827|1373|468|233|61|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6827|1373|468|233|61|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6078|1220|417|206|54|25|,3048|46|24|15|1|23|,0|0|0|0|0|0|
154,0|1|2|3|4|5|,3030|1174|393|191|53|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3030|1174|393|191|53|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3030|1174|393|191|55|,0|0|0|0|0|0|,14890|3003|1160|389|190|55|,0|0|0|0|0|0|,6397|1310|522|165|109|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6397|1310|522|165|109|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,5978|1237|483|158|105|27|,3075|66|18|4|7|24|,0|0|0|0|0|0|
155,0|1|2|3|4|5|,2903|1171|465|154|98|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2903|1171|465|154|98|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2903|1171|465|154|101|,0|0|0|0|0|0|,15470|2873|1167|462|152|99|,0|0|0|0|0|0|,6625|1252|531|194|74|54|,0|0|0|0|0|0|,0|0|0|0|0|0|,6625|1252|531|194|74|54|,0|0|0|0|0|0|,0|0|0|0|0|0|,6086|1137|490|174|66|47|,3108|63|22|10|3|45|,0|0|0|0|0|0|
156,0|1|2|3|4|5|,2978|1074|468|164|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2978|1074|468|164|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2978|1074|468|164|65|,0|0|0|0|0|0|,14390|2949|1069|467|162|65|,0|0|0|0|0|0|,6470|1333|490|206|69|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6470|1333|490|206|69|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6023|1239|461|187|61|23|,3011|78|35|16|2|21|,0|0|0|0|0|0|
157,0|1|2|3|4|5|,3012|1161|426|171|59|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3012|1161|426|171|59|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3012|1161|426|171|61|,0|0|0|0|0|0|,15790|2985|1152|425|170|60|,0|0|0|0|0|0|,6710|1302|480|181|79|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6710|1302|480|181|79|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6111|1185|429|172|73|24|,3102|70|20|7|5|22|,0|0|0|0|0|0|
158,0|1|2|3|4|5|,3009|1115|409|165|68|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3009|1115|409|165|68|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3009|1115|409|165|70|,0|0|0|0|0|0|,14590|2983|1109|406|164|70|,0|0|0|0|0|0|,6265|1341|492|186|74|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6265|1341|492|186|74|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5959|1268|473|181|72|25|,3022|68|23|11|1|24|,0|0|0|0|0|0|
159,0|1|2|3|4|5|,2937|1200|450|170|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2937|1200|450|170|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2937|1200|450|170|72|,0|0|0|0|0|0|,15570|2908|1190|440|170|71|,0|0|0|0|0|0|,6531|1273|503|206|68|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6531|1273|503|206|68|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6077|1173|466|196|64|24|,3037|60|38|2|2|23|,0|0|0|0|0|0|
160,0|1|2|3|4|5|,3040|1113|428|194|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3040|1113|428|194|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|
