Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
116,0|1|2|3|4|5|,2948|1209|427|176|73|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2948|1209|427|176|73|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2948|1209|427|176|76|,0|0|0|0|0|0|,15380|2903|1198|422|174|76|,0|0|0|0|0|0|,6605|1321|529|182|70|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6605|1321|529|182|70|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6024|1218|486|169|65|30|,3075|63|36|11|5|27|,0|0|0|0|0|0|
117,0|1|2|3|4|5|,2949|1155|450|158|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2949|1155|450|158|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2949|1155|450|158|63|,0|0|0|0|0|0|,14490|2913|1144|444|158|61|,0|0|0|0|0|0|,6569|1419|517|201|83|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6569|1419|517|201|83|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5957|1298|467|183|70|24|,2932|64|22|7|11|20|,0|0|0|0|0|0|
118,0|1|2|3|4|5|,3025|1234|445|176|59|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3025|1234|445|176|59|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3025|1234|445|176|63|,0|0|0|0|0|0|,16410|2989|1220|441|173|63|,0|0|0|0|0|0|,6753|1251|503|181|62|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6753|1251|503|181|62|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6152|1141|461|165|57|23|,3056|66|23|10|6|19|,0|0|0|0|0|0|
119,0|1|2|3|4|5|,3096|1075|438|155|51|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3096|1075|438|155|51|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3096|1075|438|155|55|,0|0|0|0|0|0|,13610|3061|1063|432|154|55|,0|0|0|0|0|0|,6331|1491|486|202|79|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6331|1491|486|202|79|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,5895|1357|453|188|75|22|,2950|63|13|8|6|21|,0|0|0|0|0|0|
120,0|1|2|3|4|5|,2945|1294|440|180|69|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2945|1294|440|180|69|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2945|1294|440|180|70|,0|0|0|0|0|0|,16130|2921|1279|436|178|70|,0|0|0|0|0|0|,6834|1259|533|193|74|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6834|1259|533|193|74|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6074|1169|476|167|71|32|,2995|49|27|6|3|28|,0|0|0|0|0|0|
121,0|1|2|3|4|5|,3079|1120|449|161|68|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3079|1120|449|161|68|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3079|1120|449|161|72|,0|0|0|0|0|0|,14920|3050|1113|443|159|71|,0|0|0|0|0|0|,6652|1323|476|189|73|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6652|1323|476|189|73|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6085|1209|441|170|70|25|,3009|52|13|9|3|22|,0|0|0|0|0|0|
122,0|1|2|3|4|5|,3076|1157|428|161|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3076|1157|428|161|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3076|1157|428|161|70|,0|0|0|0|0|0|,14520|3050|1141|423|158|69|,0|0|0|0|0|0|,6420|1421|560|196|65|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6420|1421|560|196|65|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,5924|1303|508|176|60|29|,3016|63|33|11|4|28|,0|0|0|0|0|0|
123,0|1|2|3|4|5|,2908|1240|475|165|56|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2908|1240|475|165|56|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2908|1240|475|165|57|,0|0|0|0|0|0|,15910|2884|1231|470|164|57|,0|0|0|0|0|0|,6559|1188|482|192|75|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6559|1188|482|192|75|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6145|1109|445|184|68|29|,3063|54|20|10|3|26|,0|0|0|0|0|0|
124,0|1|2|3|4|5|,3082|1055|425|174|65|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3082|1055|425|174|65|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3082|1055|425|174|68|,0|0|0|0|0|0|,13380|3054|1051|422|172|68|,0|0|0|0|0|0|,6584|1467|520|222|98|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6584|1467|520|222|98|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,5908|1315|474|195|79|29|,2993|67|22|6|4|29|,0|0|0|0|0|0|
125,0|1|2|3|4|5|,2915|1248|452|189|75|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2915|1248|452|189|75|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2915|1248|452|189|75|,0|0|0|0|0|0|,16640|2887|1240|449|187|74|,0|0|0|0|0|0|,6711|1238|543|188|77|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6711|1238|543|188|77|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6131|1131|473|169|71|25|,3065|59|23|14|2|21|,0|0|0|0|0|0|
126,0|1|2|3|4|5|,3066|1072|450|155|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3066|1072|450|155|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3066|1072|450|155|73|,0|0|0|0|0|0|,14360|3045|1064|447|155|73|,0|0|0|0|0|0|,6772|1440|492|220|55|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6772|1440|492|220|55|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6018|1276|429|200|50|27|,3038|63|21|9|5|21|,0|0|0|0|0|0|
127,0|1|2|3|4|5|,2980|1213|408|191|45|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2980|1213|408|191|45|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2980|1213|408|191|51|,0|0|0|0|0|0|,15240|2957|1199|405|191|50|,0|0|0|0|0|0|,6585|1323|502|170|75|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6585|1323|502|170|75|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6093|1208|466|153|67|13|,3112|60|30|10|1|10|,0|0|0|0|0|0|
128,0|1|2|3|4|5|,2981|1148|436|143|66|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2981|1148|436|143|66|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2981|1148|436|143|69|,0|0|0|0|0|0|,14870|2969|1138|430|142|69|,0|0|0|0|0|0|,6572|1303|521|188|65|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6572|1303|521|188|65|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6054|1194|479|172|62|32|,3073|67|18|11|6|28|,0|0|0|0|0|0|
129,0|1|2|3|4|5|,2981|1127|461|161|56|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2981|1127|461|161|56|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2981|1127|461|161|60|,0|0|0|0|0|0|,14560|2964|1124|457|161|59|,0|0|0|0|0|0|,6417|1303|514|200|63|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6417|1303|514|200|63|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6010|1228|488|189|59|19|,2951|71|22|8|5|18|,0|0|0|0|0|0|
130,0|1|2|3|4|5|,3059|1157|466|181|54|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3059|1157|466|181|54|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3059|1157|466|181|55|,0|0|0|0|0|0|,14790|3034|1147|462|181|55|,0|0|0|0|0|0|,6448|1380|523|211|86|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6448|1380|523|211|86|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,5947|1270|482|197|74|30|,2948|63|31|11|3|27|,0|0|0|0|0|0|
131,0|1|2|3|4|5|,2999|1207|451|186|71|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2999|1207|451|186|71|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2999|1207|451|186|74|,0|0|0|0|0|0|,15960|2981|1200|448|186|74|,0|0|0|0|0|0|,6820|1246|477|190|67|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,6820|1246|477|190|67|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,6166|1127|434|178|62|33|,3074|68|14|7|0|29|,0|0|0|0|0|0|
132,0|1|2|3|4|5|,3092|1059|420|171|62|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3092|1059|420|171|62|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3092|1059|420|171|66|,0|0|0|0|0|0|,13800|3073|1053|416|170|65|,0|0|0|0|0|0|,6414|1454|520|215|87|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6414|1454|520|215|87|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,5887|1325|481|192|86|27|,2961|61|24|14|4|25|,0|0|0|0|0|0|
133,0|1|2|3|4|5|,2926|1264|457|178|82|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2926|1264|457|178|82|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2926|1264|457|178|84|,0|0|0|0|0|0|,16010|2908|1255|453|177|84|,0|0|0|0|0|0|,6805|1242|539|194|83|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,6805|1242|539|194|83|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,6122|1101|486|178|77|36|,3017|56|29|8|3|34|,0|0|0|0|0|0|
