Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
41,0|1|2|3|4|5|,2915|1057|351|120|41|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2915|1057|351|120|41|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2915|1057|351|120|44|,0|0|0|0|0|0|,12790|2550|914|311|103|40|,0|0|0|0|0|0|,6341|1294|469|160|56|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6341|1294|469|160|56|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,5783|1185|432|146|53|16|,2814|56|16|10|2|11|,0|0|0|0|0|0|
42,0|1|2|3|4|5|,2969|1129|416|136|51|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2969|1129|416|136|51|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2969|1129|416|136|56|,0|0|0|0|0|0|,14600|2602|985|358|117|48|,0|0|0|0|0|0|,6690|1219|458|175|58|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,6690|1219|458|175|58|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,5956|1086|404|159|53|16|,3007|52|18|4|4|16|,0|0|0|0|0|0|
43,0|1|2|3|4|5|,2949|1034|386|155|49|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2949|1034|386|155|49|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2949|1034|386|155|49|,0|0|0|0|0|0|,13070|2577|908|352|135|44|,0|0|0|0|0|0|,6567|1280|440|187|68|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6567|1280|440|187|68|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5883|1147|397|167|55|23|,2965|64|20|9|3|21|,0|0|0|0|0|0|
44,0|1|2|3|4|5|,2918|1083|377|158|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2918|1083|377|158|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2918|1083|377|158|54|,0|0|0|0|0|0|,14590|2570|976|336|137|53|,0|0|0|0|0|0|,6906|1196|433|150|67|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,6906|1196|433|150|67|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,6001|1041|366|131|56|19|,3062|49|13|3|4|17|,0|0|0|0|0|0|
45,0|1|2|3|4|5|,2939|992|353|128|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2939|992|353|128|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2939|992|353|128|54|,0|0|0|0|0|0|,12380|2645|902|314|120|48|,0|0|0|0|0|0|,6315|1382|469|164|67|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6315|1382|469|164|67|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5700|1247|421|146|63|24|,2871|61|25|8|5|21|,0|0|0|0|0|0|
46,0|1|2|3|4|5|,2829|1186|396|138|58|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2829|1186|396|138|58|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2829|1186|396|138|61|,0|0|0|0|0|0|,14990|2540|1072|361|123|54|,0|0|0|0|0|0|,6954|1153|522|156|58|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6954|1153|522|156|58|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6012|1005|444|129|50|24|,2947|49|32|6|1|23|,0|0|0|0|0|0|
47,0|1|2|3|4|5|,3065|956|412|123|49|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3065|956|412|123|49|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3065|956|412|123|50|,0|0|0|0|0|0|,12670|2781|854|376|110|46|,0|0|0|0|0|0|,6445|1395|430|186|56|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6445|1395|430|186|56|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5709|1230|392|166|50|21|,2855|61|13|5|1|17|,0|0|0|0|0|0|
48,0|1|2|3|4|5|,2854|1169|379|161|49|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2854|1169|379|161|49|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2854|1169|379|161|53|,0|0|0|0|0|0|,14430|2623|1076|351|139|50|,0|0|0|0|0|0|,6984|1224|521|147|61|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6984|1224|521|147|61|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,5935|1032|447|129|51|21|,2938|44|21|7|2|18|,0|0|0|0|0|0|
49,0|1|2|3|4|5|,2997|988|426|122|49|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2997|988|426|122|49|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2997|988|426|122|52|,0|0|0|0|0|0|,13060|2719|911|396|116|44|,0|0|0|0|0|0|,6570|1395|467|211|54|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,6570|1395|467|211|54|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,5792|1213|398|179|45|16|,2897|55|14|9|1|16|,0|0|0|0|0|0|
50,0|1|2|3|4|5|,2895|1158|384|170|44|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2895|1158|384|170|44|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|
