Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
94,0|1|2|3|4|5|,2712|920|382|117|62|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2712|920|382|117|62|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2712|920|382|117|62|,0|0|0|0|0|0|,12310|2466|835|351|108|58|,0|0|0|0|0|0|,5830|1212|404|156|51|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5830|1212|404|156|51|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5288|1121|373|143|50|25|,2659|69|21|5|5|21|,0|0|0|0|0|0|
95,0|1|2|3|4|5|,2629|1052|352|138|45|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2629|1052|352|138|45|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2629|1052|352|138|49|,0|0|0|0|0|0|,13960|2409|952|325|127|48|,0|0|0|0|0|0|,6048|1023|436|127|58|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6048|1023|436|127|58|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5475|932|398|113|54|28|,2752|35|15|6|4|25|,0|0|0|0|0|0|
96,0|1|2|3|4|5|,2723|897|383|107|50|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2723|897|383|107|50|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2723|897|383|107|53|,0|0|0|0|0|0|,12190|2480|812|349|99|49|,0|0|0|0|0|0|,5804|1193|403|189|41|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5804|1193|403|189|41|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5299|1095|367|174|40|25|,2667|51|16|7|1|23|,0|0|0|0|0|0|
97,0|1|2|3|4|5|,2632|1044|351|167|39|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2632|1044|351|167|39|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2632|1044|351|167|41|,0|0|0|0|0|0|,13450|2390|967|331|155|37|,0|0|0|0|0|0|,5991|1021|451|153|77|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,5991|1021|451|153|77|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,5435|924|415|140|72|14|,2648|43|20|8|3|10|,0|0|0|0|0|0|
98,0|1|2|3|4|5|,2787|881|395|132|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2787|881|395|132|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2787|881|395|132|73|,0|0|0|0|0|0|,11840|2563|813|359|121|64|,0|0|0|0|0|0|,5851|1289|392|168|54|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5851|1289|392|168|54|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5270|1158|352|147|47|26|,2615|50|23|15|4|23|,0|0|0|0|0|0|
99,0|1|2|3|4|5|,2655|1108|329|132|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2655|1108|329|132|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2655|1108|329|132|46|,0|0|0|0|0|0|,13350|2443|1014|311|124|41|,0|0|0|0|0|0|,6085|1105|465|138|54|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6085|1105|465|138|54|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5424|979|416|124|45|12|,2647|52|21|9|2|12|,0|0|0|0|0|0|
100,0|1|2|3|4|5|,2777|927|395|115|43|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2777|927|395|115|43|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2777|927|395|115|43|,0|0|0|0|0|0|,11340|2525|862|360|109|41|,0|0|0|0|0|0|,5598|1235|432|182|51|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,5598|1235|432|182|51|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,5216|1158|387|170|46|10|,2615|68|19|6|1|10|,0|0|0|0|0|0|
101,0|1|2|3|4|5|,2601|1090|368|164|45|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2601|1090|368|164|45|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2601|1090|368|164|45|,0|0|0|0|0|0|,13170|2406|1023|340|150|41|,0|0|0|0|0|0|,5734|1109|463|132|66|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,5734|1109|463|132|66|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,5340|1035|434|116|56|19|,2648|58|20|4|3|18|,0|0|0|0|0|0|
102,0|1|2|3|4|5|,2692|977|414|112|53|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2692|977|414|112|53|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2692|977|414|112|54|,0|0|0|0|0|0|,12650|2485|917|381|106|50|,0|0|0|0|0|0|,5629|1120|441|177|49|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5629|1120|441|177|49|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5291|1059|411|167|45|23|,2591|50|16|9|3|21|,0|0|0|0|0|0|
103,0|1|2|3|4|5|,2700|1009|395|158|42|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2700|1009|395|158|42|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2700|1009|395|158|44|,0|0|0|0|0|0|,12430|2504|950|368|148|42|,0|0|0|0|0|0|,5655|1164|467|169|67|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,5655|1164|467|169|67|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,5245|1092|429|158|63|13|,2638|48|26|9|3|13|,0|0|0|0|0|0|
