Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
101,0|1|2|3|4|5|,2892|1062|403|173|60|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2892|1062|403|173|60|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2892|1062|403|173|60|,0|0|0|0|0|0|,13950|2816|1035|388|169|60|,0|0|0|0|0|0|,6520|1343|506|194|74|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6520|1343|506|194|74|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5646|1167|440|163|60|25|,2811|74|19|11|6|22|,0|0|0|0|0|0|
102,0|1|2|3|4|5|,2835|1093|421|152|54|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2835|1093|421|152|54|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2835|1093|421|152|57|,0|0|0|0|0|0|,14260|2768|1073|414|150|57|,0|0|0|0|0|0|,6719|1279|534|168|69|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6719|1279|534|168|69|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5761|1071|451|146|62|29|,2935|56|18|12|2|27|,0|0|0|0|0|0|
103,0|1|2|3|4|5|,2826|1015|433|134|60|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2826|1015|433|134|60|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2826|1015|433|134|62|,0|0|0|0|0|0|,13920|2766|992|423|129|60|,0|0|0|0|0|0|,6814|1335|484|199|70|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6814|1335|484|199|70|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,5797|1111|414|170|58|26|,2929|52|17|6|5|19|,0|0|0|0|0|0|
104,0|1|2|3|4|5|,2868|1059|397|164|53|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2868|1059|397|164|53|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2868|1059|397|164|60|,0|0|0|0|0|0|,14030|2803|1032|392|163|58|,0|0|0|0|0|0|,6706|1316|499|195|71|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6706|1316|499|195|71|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5701|1132|426|164|66|22|,2847|48|21|10|5|17|,0|0|0|0|0|0|
105,0|1|2|3|4|5|,2854|1084|405|154|61|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2854|1084|405|154|61|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2854|1084|405|154|66|,0|0|0|0|0|0|,14210|2797|1059|394|152|66|,0|0|0|0|0|0|,6454|1256|509|175|69|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6454|1256|509|175|69|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5755|1111|449|162|59|31|,2874|55|25|9|6|31|,0|0|0|0|0|0|
106,0|1|2|3|4|5|,2881|1056|424|153|53|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2881|1056|424|153|53|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2881|1056|424|153|53|,0|0|0|0|0|0|,14100|2827|1037|423|149|50|,0|0|0|0|0|0|,6577|1285|475|210|66|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6577|1285|475|210|66|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5778|1113|421|178|55|25|,2873|51|15|8|1|23|,0|0|0|0|0|0|
107,0|1|2|3|4|5|,2905|1062|406|170|54|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2905|1062|406|170|54|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2905|1062|406|170|56|,0|0|0|0|0|0|,13650|2860|1046|400|170|55|,0|0|0|0|0|0|,6301|1340|511|196|81|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6301|1340|511|196|81|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,5615|1186|455|175|72|22|,2804|50|22|9|3|18|,0|0|0|0|0|0|
108,0|1|2|3|4|5|,2811|1136|433|166|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2811|1136|433|166|69|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2811|1136|433|166|73|,0|0|0|0|0|0|,14890|2765|1118|428|164|72|,0|0|0|0|0|0|,6762|1227|502|190|75|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6762|1227|502|190|75|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5818|1039|432|166|60|29|,2890|53|31|8|2|27|,0|0|0|0|0|0|
109,0|1|2|3|4|5|,2928|986|401|158|58|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2928|986|401|158|58|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2928|986|401|158|60|,0|0|0|0|0|0|,12770|2873|961|392|156|58|,0|0|0|0|0|0|,6291|1438|465|191|88|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6291|1438|465|191|88|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5597|1303|412|160|81|23|,2736|55|29|7|5|21|,0|0|0|0|0|0|
110,0|1|2|3|4|5|,2861|1248|383|153|76|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2861|1248|383|153|76|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2861|1248|383|153|78|,0|0|0|0|0|0|,15220|2809|1222|376|149|77|,0|0|0|0|0|0|,6857|1190|519|157|71|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6857|1190|519|157|71|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5887|1027|449|129|60|29|,2987|54|26|7|3|25|,0|0|0|0|0|0|
